,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
land cover,1.0,0.92,0.21,0.76,0.88,0.27,0.27,0.55,0.76,0.33
land cover change,0.92,1.0,0.13,0.71,0.85,0.32,0.29,0.56,0.89,0.44
cropland,0.21,0.13,1.0,0.06,0.12,-0.06,0.13,0.04,0.1,0.0
cover,0.76,0.71,0.06,1.0,0.65,0.27,0.25,0.4,0.43,0.28
land cover map,0.88,0.85,0.12,0.65,1.0,0.24,0.28,0.56,0.74,0.32
annual,0.27,0.32,-0.06,0.27,0.24,1.0,-0.1,0.25,0.28,0.74
impervious surface,0.27,0.29,0.13,0.25,0.28,-0.1,1.0,0.17,0.25,0.05
green area,0.55,0.56,0.04,0.4,0.56,0.25,0.17,1.0,0.53,0.31
land use change,0.76,0.89,0.1,0.43,0.74,0.28,0.25,0.53,1.0,0.43
annual growth rate,0.33,0.44,0.0,0.28,0.32,0.74,0.05,0.31,0.43,1.0
