,smart city ecosystem,innovation,application area,artificial intelligence technology,smart city initiative,sharing economy,city ecosystem,increasingly turning toward,turning toward specialized,toward specialized technology
positive deviance,0.08,0.15,0.05,0.07,0.09,0.16,0.08,0.21,0.2,0.15
urban planning firm,0.51,0.36,0.51,0.43,0.57,0.38,0.44,0.38,0.41,0.49
personality,0.25,0.18,0.12,0.23,0.25,0.15,0.12,0.22,0.18,0.18
social media data,0.41,0.38,0.49,0.56,0.43,0.52,0.36,0.43,0.43,0.55
tweet,-0.05,-0.05,-0.13,-0.13,-0.09,-0.09,-0.08,-0.14,-0.15,-0.15
player,0.26,0.1,0.2,0.2,0.29,0.16,0.16,0.2,0.21,0.21
input excerpt must,0.24,0.2,0.37,0.3,0.27,0.27,0.18,0.23,0.27,0.29
six possible personality,0.36,0.19,0.41,0.43,0.44,0.4,0.26,0.43,0.41,0.39
possible personality class,0.38,0.24,0.39,0.37,0.45,0.36,0.25,0.4,0.4,0.42
media data analysis,0.36,0.31,0.49,0.59,0.36,0.42,0.29,0.34,0.37,0.5
