,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
park accessibility,0.11,0.28,0.32,0.05,0.26,0.31,0.27,0.31,0.18,0.21
densification,-0.09,-0.19,-0.17,0.01,-0.23,-0.09,0.03,-0.17,-0.26,-0.15
spatial pattern metric,0.27,0.23,0.34,0.39,0.14,0.09,0.4,0.25,0.11,0.42
land policy,0.23,0.27,0.39,-0.01,0.18,0.12,0.32,0.26,0.42,0.33
mapping urban form,0.36,0.27,0.37,0.15,0.15,0.22,0.69,0.23,0.31,0.49
city block level,0.16,0.38,0.46,-0.1,0.34,0.11,0.33,0.38,0.39,0.4
open space area,0.28,0.42,0.51,-0.07,0.41,0.28,0.39,0.4,0.41,0.47
park accessibility change,0.24,0.35,0.45,0.06,0.32,0.29,0.35,0.37,0.32,0.32
predict building height,0.25,0.38,0.44,0.04,0.29,0.08,0.25,0.36,0.37,0.33
land readjustment policy,0.17,0.21,0.31,0.1,0.07,0.09,0.28,0.2,0.32,0.31
