,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
travel,0.28,0.27,0.27,0.21,0.27,0.13,0.01,0.32,0.13,0.29
traffic,0.31,0.4,0.26,0.16,0.2,0.2,0.0,0.26,0.23,0.25
urban human mobility,0.69,0.67,0.32,0.18,0.36,0.63,0.28,0.5,0.41,0.44
mobility,0.32,0.31,0.19,0.09,0.27,0.26,0.16,0.18,0.27,0.26
human mobility,0.43,0.42,0.32,0.17,0.34,0.34,0.24,0.44,0.39,0.39
bike,0.19,0.26,0.08,0.12,0.26,0.12,0.0,0.07,0.1,0.2
transit,0.25,0.29,0.18,0.05,0.1,0.18,-0.02,0.2,0.07,0.18
transportation mode recognition,0.49,0.5,0.36,0.28,0.46,0.34,0.19,0.41,0.39,0.42
trajectory,0.08,0.14,0.14,0.03,0.08,0.14,0.16,0.18,0.27,0.24
human mobility data,0.47,0.48,0.42,0.21,0.43,0.31,0.19,0.53,0.46,0.49
