,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
land use category,0.22,0.55,0.3,0.44,-0.12,0.0,0.46,0.56,0.54,0.35
essential urban land,0.14,0.5,0.31,0.44,-0.04,-0.04,0.49,0.7,0.46,0.34
urban functional zone,0.1,0.35,0.24,0.23,-0.06,-0.06,0.33,0.65,0.36,0.39
urban land use,0.17,0.53,0.33,0.46,-0.04,-0.01,0.52,0.72,0.49,0.32
urban poverty,0.05,0.22,0.43,0.18,0.01,-0.01,0.3,0.71,0.36,0.23
functional zone classification,0.1,0.32,0.16,0.2,-0.07,-0.0,0.25,0.42,0.34,0.42
urban functional area,0.11,0.37,0.27,0.27,-0.04,-0.07,0.42,0.71,0.38,0.37
identify urban poverty,0.14,0.3,0.49,0.21,-0.02,0.05,0.34,0.72,0.43,0.26
poverty,0.05,0.12,0.42,0.11,0.03,0.03,0.16,0.5,0.3,0.2
urban functional,0.03,0.32,0.24,0.23,-0.02,-0.05,0.32,0.68,0.31,0.36
