,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
traffic,0.15,0.24,0.33,-0.02,0.24,0.2,0.33,0.2,0.3,0.23
traffic light control,0.19,0.27,0.41,-0.02,0.26,0.15,0.37,0.24,0.37,0.37
road traffic safety,0.11,0.25,0.38,-0.13,0.24,0.21,0.27,0.24,0.34,0.28
traffic control,0.18,0.26,0.41,-0.02,0.23,0.14,0.38,0.23,0.36,0.36
traffic control system,0.22,0.29,0.46,-0.0,0.24,0.12,0.46,0.28,0.39,0.42
routing,0.1,0.03,0.11,0.15,0.05,-0.05,0.21,0.05,0.08,0.16
light control,0.18,0.23,0.36,-0.02,0.21,0.08,0.31,0.21,0.33,0.38
traffic safety,0.15,0.27,0.4,-0.09,0.23,0.22,0.3,0.25,0.34,0.29
pedestrian,-0.0,0.2,0.16,0.02,0.19,0.22,0.21,0.18,0.03,0.13
congestion,0.06,0.09,0.22,0.04,0.08,0.12,0.28,0.04,0.09,0.15
