,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
smart city ecosystem,0.35,0.51,0.33,0.34,0.45,0.34,0.3,0.37,0.23,0.41
innovation,0.21,0.35,0.22,0.24,0.3,0.19,0.36,0.26,0.18,0.21
application area,0.36,0.55,0.43,0.35,0.37,0.42,0.37,0.45,0.35,0.52
artificial intelligence technology,0.28,0.33,0.32,0.31,0.23,0.27,0.25,0.34,0.36,0.27
smart city initiative,0.23,0.51,0.37,0.41,0.36,0.34,0.35,0.44,0.25,0.41
sharing economy,0.18,0.41,0.27,0.35,0.25,0.39,0.38,0.39,0.31,0.37
city ecosystem,0.32,0.49,0.29,0.25,0.44,0.3,0.27,0.33,0.22,0.37
increasingly turning toward,0.18,0.4,0.31,0.49,0.25,0.33,0.32,0.52,0.29,0.34
turning toward specialized,0.21,0.36,0.35,0.47,0.24,0.27,0.28,0.51,0.34,0.32
toward specialized technology,0.28,0.39,0.36,0.4,0.29,0.31,0.31,0.44,0.41,0.36
