,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
positive deviance,0.15,0.27,0.01,0.02,0.1,0.04,0.12,0.14,0.29,0.16
urban planning firm,0.35,0.57,0.34,0.3,0.61,0.52,0.26,0.53,0.52,0.4
personality,0.09,0.23,0.25,0.19,0.26,0.05,0.13,0.29,0.24,0.23
social media data,0.34,0.5,0.49,0.44,0.41,0.33,0.32,0.7,0.66,0.54
tweet,-0.04,-0.13,0.01,0.01,-0.15,-0.17,-0.07,-0.08,-0.11,-0.04
player,0.19,0.21,0.17,0.13,0.19,0.05,-0.03,0.19,0.2,0.26
input excerpt must,0.24,0.34,0.35,0.32,0.24,0.11,0.27,0.45,0.42,0.42
six possible personality,0.29,0.4,0.32,0.26,0.35,0.21,0.16,0.52,0.53,0.47
possible personality class,0.31,0.44,0.34,0.28,0.44,0.24,0.21,0.51,0.49,0.46
media data analysis,0.3,0.44,0.48,0.43,0.38,0.25,0.48,0.8,0.66,0.61
