,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
positive deviance,0.09,0.15,0.12,0.14,0.13,0.07,0.16,0.14,0.05,0.04
urban planning firm,0.35,0.43,0.4,0.44,0.48,0.08,0.39,0.39,0.13,0.26
personality,0.08,0.19,0.06,0.18,0.2,0.08,0.22,0.07,0.04,0.01
social media data,0.35,0.49,0.38,0.49,0.58,0.15,0.47,0.43,0.06,0.15
tweet,-0.04,-0.11,-0.12,-0.1,-0.11,0.05,-0.13,-0.08,-0.05,-0.0
player,0.12,0.21,0.19,0.21,0.26,0.08,0.22,0.17,0.01,-0.02
input excerpt must,0.16,0.31,0.22,0.3,0.36,0.14,0.35,0.23,0.05,0.07
six possible personality,0.26,0.46,0.33,0.4,0.45,0.1,0.49,0.32,0.12,0.09
possible personality class,0.25,0.44,0.31,0.36,0.45,0.12,0.46,0.31,0.08,0.14
media data analysis,0.31,0.46,0.34,0.44,0.52,0.19,0.45,0.39,0.04,0.11
