,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
park accessibility,0.01,0.29,0.1,0.24,-0.09,0.08,0.1,0.18,0.19,0.17
densification,0.15,-0.19,-0.11,-0.21,-0.05,-0.17,-0.06,-0.33,-0.27,-0.18
spatial pattern metric,0.24,0.19,0.18,0.31,-0.08,0.07,0.31,0.26,0.28,0.4
land policy,0.08,0.56,0.11,0.45,-0.14,0.16,0.31,0.4,0.36,0.38
mapping urban form,0.16,0.65,0.17,0.53,-0.12,0.17,0.32,0.34,0.41,0.5
city block level,0.08,0.52,0.13,0.46,-0.14,0.35,0.34,0.49,0.48,0.37
open space area,0.03,0.49,0.11,0.44,-0.13,0.29,0.26,0.45,0.4,0.4
park accessibility change,0.12,0.42,0.22,0.41,-0.06,0.19,0.28,0.39,0.38,0.32
predict building height,0.11,0.4,0.24,0.39,-0.13,0.19,0.22,0.49,0.44,0.37
land readjustment policy,0.12,0.47,0.08,0.31,-0.11,0.09,0.24,0.26,0.25,0.26
