,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
topic modeling,0.11,-0.09,0.27,0.23,0.36,0.16,0.28,0.24,0.25,0.17
retail store placement,0.28,-0.19,0.23,0.27,0.27,0.38,0.42,0.35,0.38,0.21
store placement problem,0.32,-0.17,0.34,0.39,0.37,0.46,0.51,0.45,0.44,0.31
syntactic,0.05,0.01,0.39,-0.01,0.15,-0.1,-0.07,0.06,0.04,0.1
store,0.26,-0.23,0.14,0.18,0.15,0.34,0.41,0.32,0.29,0.07
leisure,0.31,-0.09,0.09,0.12,0.22,0.11,0.28,0.29,0.08,0.09
heterogeneous urban data,0.27,0.03,0.4,0.32,0.69,0.33,0.39,0.35,0.25,0.28
store placement,0.31,-0.17,0.25,0.26,0.23,0.38,0.4,0.37,0.36,0.2
business,0.18,-0.26,0.11,0.42,0.31,0.39,0.41,0.32,0.37,0.32
functional region,0.21,-0.15,0.42,0.33,0.49,0.4,0.47,0.32,0.33,0.31
