,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
urban planning reform,0.42,0.75,0.34,0.36,0.57,0.41,0.48,0.42,0.32,0.51
expert system,0.26,0.32,0.24,0.3,0.25,0.29,0.19,0.34,0.34,0.28
urban information system,0.52,0.63,0.36,0.38,0.54,0.44,0.34,0.45,0.4,0.51
heterogeneous expert knowledge,0.28,0.21,0.1,0.16,0.28,0.1,0.09,0.18,0.25,0.1
democratic urban land,0.4,0.8,0.35,0.37,0.55,0.6,0.36,0.44,0.3,0.63
expert system approach,0.3,0.37,0.3,0.39,0.3,0.34,0.25,0.43,0.36,0.34
intelligent decision making,0.19,0.38,0.27,0.44,0.2,0.37,0.3,0.44,0.29,0.34
mathematical programming,0.3,0.15,0.13,0.13,0.13,0.09,0.19,0.18,0.17,0.12
expert,0.06,0.11,0.05,0.16,0.14,0.1,-0.02,0.16,0.17,0.07
urban land dynamic,0.54,0.87,0.37,0.38,0.66,0.62,0.43,0.43,0.33,0.69
