,smart urban environment,urban design problem,let spatial agent,game,interactive machine learning,urban aesthetic,aesthetic,present study aim,typical spatial behaviour,structured simple space
urban planning reform,0.69,0.7,0.29,0.15,0.28,0.6,0.18,0.59,0.27,0.4
expert system,0.46,0.53,0.34,0.26,0.43,0.23,0.06,0.5,0.29,0.36
urban information system,0.71,0.72,0.44,0.28,0.51,0.52,0.16,0.59,0.39,0.54
heterogeneous expert knowledge,0.39,0.41,0.39,0.13,0.41,0.31,0.23,0.44,0.41,0.37
democratic urban land,0.63,0.62,0.24,0.18,0.23,0.55,0.14,0.48,0.19,0.35
expert system approach,0.53,0.61,0.4,0.31,0.46,0.33,0.19,0.59,0.4,0.48
intelligent decision making,0.52,0.46,0.4,0.41,0.44,0.29,0.23,0.49,0.33,0.47
mathematical programming,0.25,0.37,0.29,0.27,0.5,0.27,0.3,0.37,0.41,0.5
expert,0.28,0.33,0.19,0.09,0.21,0.13,0.02,0.35,0.12,0.11
urban land dynamic,0.75,0.71,0.38,0.25,0.35,0.64,0.21,0.48,0.39,0.48
