,aerial,point cloud,detection,deep,cloud,object,building detection,segmentation,semantic segmentation,airborne
binary urban footprint,0.16,0.21,0.23,0.17,0.2,0.34,0.28,0.25,0.34,0.08
urban land expansion,0.2,0.27,0.08,0.28,0.12,0.2,0.33,-0.07,-0.05,0.08
building height,0.22,0.38,0.14,0.25,0.23,0.25,0.61,-0.08,-0.04,0.08
driving force,0.28,0.34,0.14,0.21,0.13,0.22,0.29,-0.09,-0.09,0.31
urban footprint,0.14,0.14,0.1,0.18,0.12,0.12,0.25,0.1,0.13,0.07
land price,0.16,0.34,0.07,0.25,0.12,0.19,0.27,-0.1,-0.1,0.07
expansion,0.08,0.21,0.06,0.21,0.07,0.18,0.29,0.0,0.01,0.02
main driving force,0.26,0.41,0.13,0.23,0.16,0.27,0.37,-0.07,-0.06,0.27
body mass index,0.1,0.38,0.18,0.2,0.24,0.36,0.31,0.05,0.03,0.08
residential land price,0.16,0.33,0.07,0.24,0.15,0.21,0.37,-0.1,-0.1,0.09
