,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
carbon emission,0.35,0.39,0.33,0.36,0.41,0.35,0.26,0.28,0.28,-0.01
climate change mitigation,0.38,0.22,0.35,0.36,0.37,0.41,0.36,0.19,0.24,0.15
emission,0.28,0.37,0.25,0.28,0.35,0.28,0.16,0.25,0.25,-0.03
built environment factor,0.34,0.27,0.31,0.4,0.4,0.48,0.51,0.2,0.37,0.32
heterogeneous urban environment,0.22,0.18,0.18,0.29,0.29,0.37,0.53,0.13,0.22,0.16
climate,0.41,0.22,0.33,0.38,0.34,0.41,0.38,0.11,0.23,0.13
urban data science,0.24,0.18,0.19,0.3,0.39,0.39,0.52,0.08,0.25,0.22
air quality monitoring,0.36,0.33,0.35,0.43,0.35,0.48,0.4,0.32,0.4,0.3
air quality,0.32,0.29,0.29,0.41,0.32,0.47,0.41,0.29,0.39,0.33
carbon,0.34,0.34,0.36,0.37,0.38,0.36,0.31,0.25,0.25,0.01
