,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
carbon emission,0.1,0.18,0.22,0.16,0.2,0.13,0.21,0.27,0.14,0.26
climate change mitigation,0.16,0.24,0.38,0.18,0.31,0.11,0.12,0.35,0.21,0.37
emission,0.1,0.16,0.17,0.15,0.17,0.08,0.21,0.27,0.15,0.22
built environment factor,0.24,0.32,0.52,0.24,0.42,0.14,0.2,0.47,0.09,0.48
heterogeneous urban environment,0.13,0.25,0.66,0.31,0.41,0.12,0.2,0.4,0.12,0.46
climate,0.18,0.19,0.33,0.11,0.27,0.09,0.12,0.25,0.17,0.33
urban data science,0.3,0.34,0.65,0.26,0.44,0.14,0.27,0.5,0.15,0.67
air quality monitoring,0.33,0.46,0.48,0.31,0.45,0.08,0.28,0.45,0.08,0.54
air quality,0.3,0.42,0.44,0.33,0.4,0.11,0.24,0.44,0.05,0.46
carbon,0.08,0.16,0.21,0.14,0.19,0.16,0.17,0.22,0.09,0.25
