,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
carbon emission,1.0,0.46,0.9,0.3,0.25,0.41,0.25,0.38,0.34,0.9
climate change mitigation,0.46,1.0,0.38,0.47,0.45,0.86,0.43,0.42,0.33,0.45
emission,0.9,0.38,1.0,0.2,0.2,0.32,0.19,0.33,0.29,0.63
built environment factor,0.3,0.47,0.2,1.0,0.58,0.49,0.55,0.51,0.48,0.34
heterogeneous urban environment,0.25,0.45,0.2,0.58,1.0,0.46,0.64,0.37,0.32,0.25
climate,0.41,0.86,0.32,0.49,0.46,1.0,0.4,0.36,0.28,0.41
urban data science,0.25,0.43,0.19,0.55,0.64,0.4,1.0,0.49,0.44,0.25
air quality monitoring,0.38,0.42,0.33,0.51,0.37,0.36,0.49,1.0,0.91,0.36
air quality,0.34,0.33,0.29,0.48,0.32,0.28,0.44,0.91,1.0,0.33
carbon,0.9,0.45,0.63,0.34,0.25,0.41,0.25,0.36,0.33,1.0
