,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
smart urban environment,0.69,0.46,0.71,0.39,0.63,0.53,0.52,0.25,0.28,0.75
urban design problem,0.7,0.53,0.72,0.41,0.62,0.61,0.46,0.37,0.33,0.71
let spatial agent,0.29,0.34,0.44,0.39,0.24,0.4,0.4,0.29,0.19,0.38
game,0.15,0.26,0.28,0.13,0.18,0.31,0.41,0.27,0.09,0.25
interactive machine learning,0.28,0.43,0.51,0.41,0.23,0.46,0.44,0.5,0.21,0.35
urban aesthetic,0.6,0.23,0.52,0.31,0.55,0.33,0.29,0.27,0.13,0.64
aesthetic,0.18,0.06,0.16,0.23,0.14,0.19,0.23,0.3,0.02,0.21
present study aim,0.59,0.5,0.59,0.44,0.48,0.59,0.49,0.37,0.35,0.48
typical spatial behaviour,0.27,0.29,0.39,0.41,0.19,0.4,0.33,0.41,0.12,0.39
structured simple space,0.4,0.36,0.54,0.37,0.35,0.48,0.47,0.5,0.11,0.48
