,landscape pattern,land cover pattern,urban greenness space,landscape,various land cover,dust,sediment yield,urban greenness,sediment,watershed soil erosion
positive deviance,0.13,0.08,0.06,0.01,0.04,0.13,0.22,0.06,0.1,0.1
urban planning firm,0.37,0.45,0.54,0.39,0.48,0.08,0.13,0.45,0.05,0.26
personality,0.27,0.16,0.13,0.22,0.15,0.08,0.01,0.07,-0.02,0.0
social media data,0.32,0.39,0.35,0.24,0.46,0.14,0.19,0.17,0.09,0.22
tweet,-0.14,-0.13,-0.03,-0.14,-0.16,0.03,-0.07,-0.02,-0.01,-0.14
player,0.14,0.2,0.04,0.1,0.22,0.08,0.01,-0.11,-0.04,-0.01
input excerpt must,0.21,0.38,0.16,0.05,0.37,0.1,0.21,0.04,0.1,0.18
six possible personality,0.32,0.46,0.2,0.2,0.5,0.18,0.17,-0.01,0.02,0.16
possible personality class,0.33,0.41,0.28,0.2,0.42,0.12,0.14,0.12,0.04,0.14
media data analysis,0.31,0.36,0.29,0.19,0.37,0.18,0.27,0.09,0.16,0.22
