,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
smart urban environment,0.08,0.26,0.22,0.18,0.49,0.28,0.38,-0.02,0.3,0.38
urban design problem,0.0,0.35,0.23,0.1,0.53,0.24,0.42,0.05,0.24,0.44
let spatial agent,-0.06,0.36,0.09,-0.04,0.38,0.04,0.4,0.24,0.05,0.31
game,-0.06,0.17,0.17,-0.06,0.27,0.09,0.21,-0.01,0.1,0.27
interactive machine learning,0.07,0.28,0.17,-0.05,0.38,0.09,0.33,0.25,0.14,0.34
urban aesthetic,0.2,0.32,0.13,0.24,0.35,0.26,0.35,0.14,0.26,0.33
aesthetic,0.2,0.35,0.01,0.15,0.18,0.11,0.33,0.26,0.1,0.27
present study aim,-0.12,0.33,0.18,-0.06,0.53,0.1,0.51,0.03,0.09,0.45
typical spatial behaviour,0.12,0.44,0.09,0.05,0.3,0.1,0.46,0.41,0.13,0.33
structured simple space,0.03,0.21,0.17,0.12,0.66,0.21,0.34,0.13,0.22,0.37
