,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
topic modeling,0.29,0.21,0.26,0.21,0.19,0.32,0.31,0.25,0.16,0.31
retail store placement,0.35,0.3,0.29,0.32,0.17,0.23,0.34,0.23,0.07,0.29
store placement problem,0.46,0.39,0.36,0.43,0.28,0.33,0.44,0.4,0.23,0.37
syntactic,0.06,-0.0,0.08,-0.02,-0.02,0.19,0.1,-0.0,-0.01,0.2
store,0.26,0.22,0.2,0.26,0.1,0.12,0.27,0.17,0.03,0.19
leisure,0.21,0.25,0.3,0.23,0.16,0.2,0.31,0.14,0.02,0.3
heterogeneous urban data,0.38,0.55,0.59,0.55,0.53,0.47,0.62,0.57,0.29,0.65
store placement,0.35,0.25,0.24,0.29,0.12,0.24,0.29,0.22,0.06,0.24
business,0.42,0.39,0.29,0.39,0.24,0.19,0.35,0.29,0.16,0.28
functional region,0.41,0.46,0.7,0.41,0.35,0.68,0.74,0.42,0.27,0.7
