,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
binary urban footprint,0.23,0.29,0.11,0.13,0.29,0.1,0.2,0.3,0.34,0.23
urban land expansion,0.69,0.7,0.16,0.3,0.65,0.28,0.21,0.54,0.72,0.47
building height,0.41,0.45,-0.03,0.31,0.42,0.19,0.18,0.43,0.44,0.31
driving force,0.39,0.48,-0.07,0.3,0.35,0.21,0.15,0.36,0.5,0.35
urban footprint,0.33,0.38,0.13,0.18,0.36,0.17,0.21,0.43,0.4,0.3
land price,0.74,0.74,0.13,0.36,0.66,0.27,0.16,0.43,0.72,0.46
expansion,0.32,0.4,0.03,0.2,0.33,0.3,0.07,0.28,0.43,0.49
main driving force,0.42,0.52,-0.11,0.33,0.4,0.26,0.15,0.45,0.54,0.37
body mass index,0.32,0.4,-0.11,0.26,0.34,0.34,0.21,0.3,0.41,0.45
residential land price,0.7,0.68,0.14,0.35,0.61,0.26,0.18,0.51,0.67,0.47
