,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
urban planning reform,0.09,0.8,0.11,0.52,-0.16,0.11,0.27,0.35,0.37,0.4
expert system,0.04,0.46,0.21,0.55,-0.15,0.28,0.33,0.41,0.43,0.55
urban information system,0.12,0.68,0.18,0.72,-0.1,0.25,0.43,0.44,0.49,0.66
heterogeneous expert knowledge,0.16,0.36,0.32,0.5,-0.12,0.17,0.34,0.34,0.39,0.54
democratic urban land,0.05,0.65,0.12,0.45,-0.18,0.15,0.24,0.36,0.37,0.31
expert system approach,0.14,0.53,0.31,0.59,-0.14,0.3,0.37,0.51,0.52,0.6
intelligent decision making,0.17,0.47,0.31,0.47,0.01,0.37,0.43,0.56,0.54,0.44
mathematical programming,0.12,0.22,0.28,0.43,-0.12,0.16,0.29,0.31,0.36,0.47
expert,-0.0,0.34,0.17,0.32,-0.15,0.17,0.17,0.24,0.24,0.38
urban land dynamic,0.09,0.66,0.21,0.47,-0.18,0.23,0.3,0.36,0.42,0.38
