,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
signal,0.15,0.11,0.34,0.12,0.36,0.18,0.07,0.25,0.32,0.27
positioning,0.12,0.09,0.37,0.08,0.34,0.26,0.04,0.23,0.33,0.22
positioning accuracy,0.2,0.15,0.47,0.12,0.35,0.3,0.11,0.29,0.4,0.28
multipath,-0.08,-0.16,0.05,-0.12,0.14,-0.13,-0.07,0.07,0.03,-0.11
path loss,0.26,0.3,0.25,0.31,0.19,0.3,0.2,0.2,0.17,0.37
localization,0.0,-0.09,0.21,-0.03,0.25,0.1,-0.08,0.15,0.17,0.02
positioning performance,0.27,0.19,0.47,0.19,0.31,0.29,0.19,0.38,0.42,0.39
receiver,0.11,0.12,0.12,0.1,0.2,0.1,0.14,0.07,0.11,0.13
reception,0.1,0.06,0.06,0.09,0.05,0.02,0.07,0.16,0.07,0.16
fingerprint,0.08,-0.02,0.26,-0.03,0.28,0.12,0.05,0.29,0.26,0.05
