,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
smart infrastructure system,0.59,0.67,0.76,0.37,0.47,0.69,0.55,0.31,0.25,0.55
smart infrastructure,0.53,0.42,0.57,0.31,0.4,0.47,0.5,0.24,0.2,0.5
infrastructure system,0.6,0.7,0.79,0.36,0.49,0.68,0.4,0.28,0.23,0.54
outbreak,0.14,0.14,0.16,0.06,0.13,0.14,0.07,-0.11,0.11,0.07
smart city network,0.52,0.46,0.64,0.31,0.46,0.51,0.56,0.31,0.21,0.51
data sharing,0.31,0.41,0.6,0.42,0.28,0.45,0.38,0.35,0.18,0.35
governance,0.48,0.39,0.4,0.31,0.36,0.43,0.21,0.14,0.24,0.33
smart,0.27,0.29,0.35,0.21,0.19,0.37,0.55,0.21,0.16,0.31
urban governance,0.77,0.43,0.66,0.35,0.67,0.48,0.27,0.17,0.27,0.7
air quality,0.33,0.4,0.5,0.24,0.35,0.44,0.39,0.21,0.21,0.4
