,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
park accessibility,0.28,0.22,0.36,0.24,0.27,0.24,0.25,0.18,0.12,0.35
densification,-0.08,-0.2,-0.16,-0.04,-0.21,-0.21,-0.24,-0.07,-0.21,-0.11
spatial pattern metric,0.17,0.22,0.33,0.27,0.11,0.3,0.19,0.37,0.04,0.33
land policy,0.64,0.43,0.55,0.27,0.71,0.52,0.51,0.14,0.26,0.69
mapping urban form,0.64,0.44,0.72,0.4,0.6,0.51,0.34,0.35,0.21,0.72
city block level,0.5,0.37,0.56,0.16,0.51,0.43,0.45,0.23,0.13,0.47
open space area,0.45,0.36,0.56,0.24,0.52,0.43,0.39,0.27,0.16,0.57
park accessibility change,0.45,0.36,0.51,0.32,0.42,0.41,0.45,0.24,0.18,0.49
predict building height,0.38,0.32,0.4,0.21,0.36,0.4,0.35,0.2,0.16,0.36
land readjustment policy,0.62,0.31,0.43,0.22,0.54,0.4,0.39,0.11,0.19,0.6
