,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
road traffic noise,0.35,0.84,0.38,0.21,0.28,0.36,0.37,0.42,0.1,0.34
urban form indicator,0.24,0.31,0.63,0.28,0.4,0.14,0.24,0.45,0.17,0.5
interface network,0.21,0.35,0.39,0.29,0.34,0.14,0.27,0.47,0.05,0.47
interface network connectivity,0.2,0.35,0.43,0.4,0.39,0.16,0.27,0.49,0.05,0.5
classical urban design,0.2,0.27,0.55,0.21,0.29,0.24,0.22,0.43,0.15,0.34
housing estate,0.25,0.18,0.31,0.08,0.13,0.11,0.16,0.25,0.04,0.21
greenway suitability analysis,0.14,0.14,0.24,0.19,0.24,0.07,0.13,0.22,0.21,0.36
using network analysis,0.31,0.35,0.48,0.26,0.45,0.15,0.32,0.52,0.16,0.63
economic assessment using,0.32,0.28,0.49,0.25,0.45,0.08,0.23,0.52,0.23,0.61
assessment using machine,0.23,0.25,0.38,0.19,0.37,0.19,0.18,0.51,0.17,0.52
