,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
park accessibility,1.0,-0.11,0.12,0.29,0.29,0.32,0.43,0.9,0.31,0.25
densification,-0.11,1.0,0.04,-0.26,-0.1,-0.25,-0.34,-0.16,-0.18,-0.09
spatial pattern metric,0.12,0.04,1.0,0.23,0.45,0.19,0.25,0.23,0.31,0.25
land policy,0.29,-0.26,0.23,1.0,0.43,0.43,0.52,0.47,0.37,0.83
mapping urban form,0.29,-0.1,0.45,0.43,1.0,0.46,0.52,0.41,0.35,0.35
city block level,0.32,-0.25,0.19,0.43,0.46,1.0,0.59,0.44,0.57,0.27
open space area,0.43,-0.34,0.25,0.52,0.52,0.59,1.0,0.5,0.47,0.37
park accessibility change,0.9,-0.16,0.23,0.47,0.41,0.44,0.5,1.0,0.44,0.4
predict building height,0.31,-0.18,0.31,0.37,0.35,0.57,0.47,0.44,1.0,0.31
land readjustment policy,0.25,-0.09,0.25,0.83,0.35,0.27,0.37,0.4,0.31,1.0
