,smart infrastructure system,smart infrastructure,infrastructure system,outbreak,smart city network,data sharing,governance,smart,urban governance,air quality
positive deviance,0.08,0.07,0.08,0.16,0.01,0.15,0.19,0.04,0.13,0.14
urban planning firm,0.56,0.54,0.54,0.14,0.58,0.37,0.35,0.32,0.66,0.39
personality,0.21,0.19,0.11,0.03,0.31,0.15,0.1,0.3,0.11,0.2
social media data,0.54,0.42,0.55,0.15,0.5,0.7,0.37,0.24,0.45,0.41
tweet,-0.09,-0.06,-0.13,-0.03,-0.07,-0.02,0.0,0.03,-0.08,-0.1
player,0.26,0.19,0.19,0.02,0.28,0.19,0.03,0.26,0.08,0.27
input excerpt must,0.31,0.22,0.28,0.03,0.27,0.39,0.21,0.2,0.21,0.26
six possible personality,0.4,0.32,0.35,0.27,0.49,0.39,0.15,0.3,0.2,0.42
possible personality class,0.45,0.36,0.38,0.22,0.47,0.35,0.19,0.37,0.28,0.39
media data analysis,0.47,0.36,0.47,0.14,0.45,0.71,0.29,0.25,0.33,0.42
