,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
positive deviance,0.03,0.09,0.16,0.09,0.2,0.02,-0.05,0.17,0.21,0.24
urban planning firm,0.37,0.35,0.59,0.22,0.35,0.17,0.34,0.44,0.05,0.43
personality,0.05,0.08,0.22,0.11,0.24,-0.01,-0.07,0.19,0.09,0.22
social media data,0.35,0.35,0.52,0.24,0.48,0.04,0.17,0.5,0.1,0.71
tweet,0.0,-0.04,-0.09,0.03,-0.04,-0.04,-0.15,-0.1,0.1,-0.02
player,0.17,0.12,0.15,0.05,0.15,0.09,0.02,0.26,-0.0,0.19
input excerpt must,0.23,0.16,0.25,0.09,0.26,0.08,0.06,0.4,0.14,0.39
six possible personality,0.33,0.26,0.35,0.1,0.35,0.1,0.11,0.4,0.12,0.41
possible personality class,0.3,0.25,0.41,0.21,0.38,0.14,0.11,0.44,0.13,0.42
media data analysis,0.3,0.31,0.42,0.2,0.41,0.04,0.17,0.47,0.17,0.7
