,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
smart infrastructure system,0.25,0.35,0.44,-0.01,0.23,0.19,0.49,0.31,0.47,0.41
smart infrastructure,0.21,0.33,0.37,-0.03,0.21,0.24,0.41,0.27,0.46,0.34
infrastructure system,0.21,0.28,0.39,0.03,0.14,0.16,0.5,0.23,0.41,0.46
outbreak,-0.01,0.05,0.15,-0.04,0.05,-0.04,0.07,0.02,0.05,0.15
smart city network,0.21,0.37,0.43,-0.17,0.35,0.19,0.43,0.35,0.49,0.3
data sharing,0.37,0.36,0.43,0.03,0.27,0.11,0.63,0.33,0.38,0.27
governance,0.21,0.05,0.13,0.09,-0.09,0.05,0.29,0.01,0.29,0.32
smart,0.2,0.31,0.33,-0.08,0.27,0.15,0.22,0.3,0.34,0.13
urban governance,0.23,0.18,0.24,0.04,0.04,0.2,0.59,0.1,0.35,0.41
air quality,0.15,0.31,0.4,-0.1,0.24,0.17,0.31,0.3,0.34,0.33
