,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
positive deviance,0.2,0.1,0.14,0.11,0.02,0.04,0.18,0.06,0.11,0.15
urban planning firm,0.3,0.42,0.43,-0.07,0.26,0.29,0.54,0.32,0.55,0.35
personality,0.32,0.1,0.19,0.1,0.08,0.02,0.18,0.1,0.21,0.21
social media data,0.45,0.39,0.46,0.06,0.26,0.21,0.64,0.33,0.52,0.33
tweet,0.05,-0.11,-0.12,0.13,-0.03,-0.02,-0.08,-0.08,-0.15,-0.15
player,0.16,0.18,0.28,-0.12,0.17,0.05,0.11,0.2,0.2,0.1
input excerpt must,0.29,0.16,0.32,0.13,0.12,0.04,0.32,0.19,0.25,0.28
six possible personality,0.33,0.27,0.43,0.02,0.22,0.04,0.27,0.28,0.37,0.4
possible personality class,0.39,0.26,0.45,0.1,0.18,0.16,0.34,0.3,0.42,0.4
media data analysis,0.49,0.39,0.45,0.12,0.23,0.14,0.65,0.34,0.48,0.34
