,topic modeling,retail store placement,store placement problem,syntactic,store,leisure,heterogeneous urban data,store placement,business,functional region
land cover,0.17,0.27,0.38,-0.07,0.25,0.12,0.26,0.27,0.33,0.29
land cover change,0.28,0.33,0.47,-0.02,0.29,0.13,0.33,0.33,0.42,0.37
cropland,-0.08,-0.13,-0.09,0.02,-0.14,-0.08,0.01,-0.11,-0.16,0.05
cover,0.23,0.24,0.33,-0.04,0.22,0.07,0.17,0.24,0.26,0.21
land cover map,0.24,0.29,0.41,-0.03,0.26,0.1,0.33,0.3,0.31,0.39
annual,0.16,0.25,0.23,-0.11,0.18,0.14,0.15,0.2,0.33,0.13
impervious surface,0.19,-0.01,0.11,0.1,-0.03,0.03,0.26,0.02,0.02,0.22
green area,0.11,0.29,0.34,-0.13,0.3,0.22,0.28,0.26,0.33,0.42
land use change,0.29,0.33,0.5,0.02,0.29,0.15,0.39,0.34,0.44,0.41
annual growth rate,0.2,0.39,0.38,-0.11,0.23,0.15,0.37,0.29,0.42,0.27
