,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
park accessibility,0.4,0.22,0.29,0.35,0.3,0.31,0.25,0.21,0.17,0.17
densification,-0.04,-0.08,-0.06,-0.02,-0.08,-0.14,-0.02,-0.19,-0.19,-0.21
spatial pattern metric,0.25,0.38,0.29,0.31,0.35,0.08,0.3,0.41,0.36,0.35
land policy,0.31,0.39,0.21,0.18,0.33,0.48,0.21,0.4,0.58,0.4
mapping urban form,0.37,0.76,0.41,0.42,0.66,0.35,0.28,0.55,0.51,0.45
city block level,0.5,0.47,0.28,0.23,0.42,0.37,0.08,0.41,0.45,0.41
open space area,0.42,0.43,0.31,0.29,0.47,0.36,0.11,0.43,0.41,0.4
park accessibility change,0.46,0.37,0.35,0.38,0.4,0.33,0.24,0.36,0.37,0.32
predict building height,0.36,0.41,0.19,0.17,0.39,0.39,0.22,0.39,0.47,0.42
land readjustment policy,0.23,0.37,0.17,0.17,0.29,0.39,0.19,0.3,0.51,0.32
