,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
person detection method,0.3,0.2,0.28,0.31,0.17,0.26,0.12,0.33,0.37,0.25
freeway,0.2,0.24,0.18,0.17,0.24,0.09,0.16,0.21,-0.03,0.19
task scheduling algorithm,0.34,0.14,0.09,0.21,0.13,0.12,0.16,0.23,0.08,0.08
sustainable smart city,0.32,0.55,0.37,0.39,0.46,0.39,0.36,0.42,0.26,0.47
urban data management,0.52,0.64,0.3,0.31,0.56,0.42,0.38,0.37,0.41,0.5
smart city application,0.29,0.48,0.4,0.4,0.34,0.37,0.34,0.44,0.3,0.44
urban freeway corridor,0.42,0.6,0.3,0.23,0.57,0.24,0.34,0.32,0.12,0.4
anomaly detection,0.22,0.05,0.1,0.09,0.07,0.04,0.07,0.07,0.16,0.03
person detection,0.22,0.17,0.27,0.32,0.14,0.23,0.08,0.3,0.33,0.23
freeway corridor,0.23,0.36,0.25,0.17,0.31,0.15,0.27,0.25,0.05,0.26
