,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
landscape pattern,0.34,0.33,0.39,0.3,0.35,0.4,0.23,0.28,0.22,0.49
land cover pattern,0.46,0.33,0.52,0.23,0.58,0.4,0.38,0.21,0.12,0.64
urban greenness space,0.55,0.22,0.54,0.25,0.56,0.29,0.26,0.2,0.09,0.65
landscape,0.36,0.26,0.31,0.27,0.38,0.3,0.16,0.17,0.24,0.49
various land cover,0.51,0.35,0.55,0.28,0.62,0.39,0.39,0.22,0.15,0.64
dust,0.07,0.13,0.18,0.1,0.11,0.13,0.06,0.02,0.08,0.18
sediment yield,0.11,0.07,0.19,0.14,0.12,0.13,0.1,0.12,-0.01,0.24
urban greenness,0.52,0.07,0.4,0.17,0.49,0.13,0.11,0.04,0.02,0.55
sediment,0.04,0.06,0.15,0.12,0.06,0.06,-0.03,0.06,-0.03,0.16
watershed soil erosion,0.29,0.22,0.31,0.19,0.41,0.24,0.14,0.09,0.09,0.39
