,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
travel,0.03,0.37,0.05,0.35,0.0,0.17,0.23,0.33,0.3,0.3
traffic,0.09,0.35,0.08,0.35,-0.04,0.12,0.16,0.26,0.25,0.31
urban human mobility,0.16,0.59,0.22,0.52,-0.09,0.15,0.25,0.35,0.41,0.42
mobility,0.09,0.22,0.11,0.24,0.03,0.05,0.09,0.1,0.21,0.2
human mobility,0.2,0.35,0.24,0.48,-0.04,0.15,0.26,0.35,0.38,0.41
bike,0.02,0.17,-0.01,0.04,-0.04,0.09,0.08,0.1,0.14,0.04
transit,-0.05,0.34,-0.07,0.17,-0.15,0.02,0.06,0.11,0.11,0.17
transportation mode recognition,0.17,0.44,0.19,0.5,-0.1,0.26,0.4,0.4,0.44,0.47
trajectory,0.21,0.05,0.09,0.1,0.1,-0.0,0.14,0.12,0.13,0.17
human mobility data,0.24,0.43,0.22,0.71,-0.02,0.19,0.39,0.41,0.42,0.7
