,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
urban planning reform,0.28,-0.08,0.17,0.64,0.64,0.5,0.45,0.45,0.38,0.62
expert system,0.22,-0.2,0.22,0.43,0.44,0.37,0.36,0.36,0.32,0.31
urban information system,0.36,-0.16,0.33,0.55,0.72,0.56,0.56,0.51,0.4,0.43
heterogeneous expert knowledge,0.24,-0.04,0.27,0.27,0.4,0.16,0.24,0.32,0.21,0.22
democratic urban land,0.27,-0.21,0.11,0.71,0.6,0.51,0.52,0.42,0.36,0.54
expert system approach,0.24,-0.21,0.3,0.52,0.51,0.43,0.43,0.41,0.4,0.4
intelligent decision making,0.25,-0.24,0.19,0.51,0.34,0.45,0.39,0.45,0.35,0.39
mathematical programming,0.18,-0.07,0.37,0.14,0.35,0.23,0.27,0.24,0.2,0.11
expert,0.12,-0.21,0.04,0.26,0.21,0.13,0.16,0.18,0.16,0.19
urban land dynamic,0.35,-0.11,0.33,0.69,0.72,0.47,0.57,0.49,0.36,0.6
