,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
carbon emission,0.1,0.11,-0.02,0.09,0.19,0.05,0.16,0.05,0.09,0.11
climate change mitigation,0.03,0.3,0.08,0.11,0.32,0.13,0.36,0.19,0.11,0.25
emission,0.12,0.09,-0.04,0.05,0.16,0.01,0.12,0.09,0.07,0.08
built environment factor,-0.04,0.34,0.22,0.04,0.53,0.2,0.46,0.01,0.18,0.42
heterogeneous urban environment,0.23,0.26,0.08,0.21,0.4,0.2,0.36,0.11,0.24,0.24
climate,0.04,0.27,0.05,0.12,0.27,0.12,0.35,0.14,0.05,0.21
urban data science,0.04,0.31,0.25,0.08,0.61,0.24,0.46,0.11,0.18,0.42
air quality monitoring,-0.06,0.21,0.14,0.07,0.49,0.15,0.38,0.01,0.15,0.35
air quality,-0.08,0.23,0.14,0.1,0.49,0.18,0.32,-0.03,0.14,0.37
carbon,0.07,0.11,0.01,0.11,0.19,0.08,0.16,-0.0,0.1,0.12
