,positive deviance,urban planning firm,personality,social media data,tweet,player,input excerpt must,six possible personality,possible personality class,media data analysis
smart urban environment,0.12,0.67,0.27,0.5,-0.1,0.22,0.27,0.36,0.44,0.4
urban design problem,0.11,0.72,0.24,0.5,-0.16,0.22,0.32,0.42,0.5,0.45
let spatial agent,0.19,0.32,0.29,0.41,-0.04,0.36,0.41,0.44,0.44,0.43
game,0.06,0.21,0.21,0.26,-0.05,0.62,0.23,0.45,0.33,0.27
interactive machine learning,0.11,0.33,0.25,0.5,-0.01,0.25,0.36,0.37,0.39,0.49
urban aesthetic,0.16,0.56,0.27,0.34,-0.05,0.05,0.18,0.23,0.33,0.23
aesthetic,0.23,0.17,0.33,0.18,0.05,-0.01,0.16,0.2,0.27,0.12
present study aim,0.23,0.56,0.23,0.58,-0.11,0.2,0.43,0.57,0.54,0.55
typical spatial behaviour,0.32,0.27,0.39,0.44,-0.02,0.18,0.33,0.39,0.46,0.42
structured simple space,0.1,0.42,0.25,0.45,-0.0,0.2,0.4,0.44,0.48,0.47
