,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
landscape pattern,0.39,0.37,0.33,0.19,0.39,0.24,0.19,0.22,0.24,0.31
land cover pattern,0.32,0.64,0.45,0.4,0.35,0.66,0.34,0.43,0.37,0.65
urban greenness space,0.54,0.63,0.35,0.21,0.66,0.29,0.3,0.26,0.2,0.43
landscape,0.34,0.38,0.28,0.11,0.43,0.23,0.12,0.14,0.15,0.3
various land cover,0.25,0.65,0.43,0.4,0.32,0.68,0.32,0.47,0.37,0.66
dust,0.2,0.19,0.19,0.16,0.22,0.14,0.08,0.16,0.16,0.15
sediment yield,0.21,0.19,0.17,0.15,0.19,0.3,0.1,0.16,0.25,0.27
urban greenness,0.48,0.52,0.14,0.09,0.63,0.12,0.15,0.1,0.05,0.29
sediment,0.2,0.12,0.06,0.01,0.2,0.08,0.03,0.02,0.11,0.06
watershed soil erosion,0.3,0.4,0.22,0.15,0.36,0.3,0.2,0.18,0.2,0.28
