,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
temperature,0.17,0.01,0.32,0.14,0.23,0.24,0.24,0.3,0.36,0.11
thermal,0.09,0.06,0.29,0.03,0.21,0.11,0.18,0.13,0.19,0.03
cooling,0.13,0.09,0.2,0.11,0.13,0.15,0.2,0.22,0.28,0.12
surface temperature,0.19,-0.02,0.38,0.21,0.37,0.31,0.38,0.32,0.41,0.16
energy,0.15,-0.14,0.24,0.34,0.28,0.31,0.31,0.29,0.29,0.26
land surface temperature,0.27,-0.11,0.37,0.51,0.47,0.41,0.53,0.41,0.47,0.4
urban heat island,0.29,-0.13,0.15,0.43,0.56,0.48,0.52,0.41,0.36,0.32
ventilation,0.2,0.17,0.18,-0.02,0.08,0.11,0.17,0.19,0.19,0.02
thermal comfort,0.2,-0.02,0.27,0.11,0.21,0.17,0.26,0.25,0.26,0.11
comfort,0.25,-0.11,0.11,0.16,0.1,0.17,0.22,0.29,0.22,0.15
