,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
person detection method,0.24,0.51,0.5,0.46,0.21,0.59,0.49,0.34,0.28,0.32
freeway,0.15,0.07,0.18,-0.1,0.15,0.08,0.03,-0.01,-0.01,0.19
task scheduling algorithm,0.25,0.29,0.32,0.28,0.13,0.37,0.35,0.49,0.12,0.23
sustainable smart city,0.59,0.38,0.57,0.3,0.52,0.48,0.55,0.19,0.22,0.59
urban data management,0.69,0.56,0.83,0.48,0.58,0.6,0.42,0.35,0.31,0.69
smart city application,0.51,0.45,0.62,0.33,0.45,0.52,0.63,0.32,0.2,0.52
urban freeway corridor,0.48,0.21,0.48,0.11,0.48,0.24,0.15,0.06,0.1,0.55
anomaly detection,0.04,0.32,0.27,0.28,0.0,0.35,0.19,0.2,0.14,0.13
person detection,0.19,0.46,0.45,0.42,0.18,0.5,0.45,0.21,0.28,0.27
freeway corridor,0.22,0.11,0.26,0.0,0.23,0.13,0.07,0.01,0.02,0.29
