,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
park accessibility,0.11,0.23,0.08,0.4,0.35,0.16,0.3,0.31,0.29,0.11
densification,0.03,-0.06,0.08,-0.19,0.04,-0.07,-0.15,-0.13,-0.12,-0.03
spatial pattern metric,0.33,0.3,0.31,0.28,0.27,0.23,0.33,0.29,0.24,0.29
land policy,0.2,0.47,0.16,0.48,0.37,0.38,0.46,0.39,0.35,0.2
mapping urban form,0.24,0.38,0.18,0.46,0.67,0.31,0.71,0.42,0.37,0.26
city block level,0.2,0.27,0.13,0.53,0.33,0.23,0.49,0.46,0.44,0.23
open space area,0.17,0.28,0.12,0.54,0.41,0.28,0.55,0.46,0.46,0.18
park accessibility change,0.23,0.51,0.18,0.54,0.44,0.39,0.42,0.42,0.39,0.23
predict building height,0.22,0.36,0.16,0.56,0.22,0.3,0.39,0.34,0.31,0.25
land readjustment policy,0.15,0.38,0.11,0.36,0.33,0.25,0.35,0.29,0.26,0.15
