,traffic,traffic light control,road traffic safety,traffic control,traffic control system,routing,light control,traffic safety,pedestrian,congestion
urban planning reform,0.31,0.4,0.38,0.42,0.5,0.08,0.37,0.36,0.16,0.28
expert system,0.3,0.45,0.41,0.46,0.68,0.1,0.45,0.42,0.08,0.18
urban information system,0.45,0.59,0.51,0.59,0.76,0.23,0.55,0.51,0.23,0.32
heterogeneous expert knowledge,0.13,0.23,0.15,0.24,0.31,-0.0,0.24,0.21,0.07,0.04
democratic urban land,0.26,0.43,0.36,0.42,0.47,0.09,0.44,0.3,0.14,0.19
expert system approach,0.32,0.5,0.44,0.5,0.69,0.16,0.51,0.44,0.14,0.2
intelligent decision making,0.24,0.44,0.32,0.37,0.45,0.12,0.47,0.32,0.13,0.09
mathematical programming,0.11,0.18,0.07,0.17,0.25,0.17,0.19,0.1,0.03,0.05
expert,0.13,0.2,0.23,0.21,0.25,-0.11,0.21,0.25,0.02,0.02
urban land dynamic,0.34,0.49,0.37,0.48,0.52,0.13,0.48,0.32,0.23,0.28
