,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
crash,-0.11,0.06,0.16,-0.1,0.22,0.06,0.15,-0.03,0.15,0.18
vehicle ownership,-0.13,0.17,0.19,-0.09,0.41,0.08,0.21,-0.04,0.2,0.32
crime,-0.14,0.23,0.24,-0.06,0.27,0.15,0.35,-0.04,0.12,0.32
ownership,-0.1,0.15,0.11,-0.08,0.3,0.03,0.16,-0.05,-0.01,0.22
waterlogging,0.05,0.08,-0.13,0.21,-0.16,0.04,-0.07,0.15,0.05,-0.14
opportunistic,0.04,0.13,0.03,0.06,-0.01,0.06,0.15,0.06,0.01,0.06
public transportation route,-0.19,0.16,0.39,0.02,0.61,0.31,0.27,-0.12,0.34,0.42
scale urban problem,-0.04,0.34,0.21,0.08,0.5,0.22,0.43,0.06,0.19,0.39
real world data,-0.1,0.33,0.31,-0.04,0.56,0.21,0.49,0.09,0.08,0.52
game abstraction framework,0.08,0.3,0.07,0.05,0.28,0.08,0.35,0.23,0.1,0.3
