,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
land cover classification,0.33,0.61,0.38,0.33,0.33,0.63,0.29,0.38,0.36,0.59
land cover,0.23,0.69,0.41,0.39,0.33,0.74,0.32,0.42,0.32,0.7
data weighting method,0.43,0.19,0.19,0.19,0.27,0.24,0.18,0.24,0.46,0.24
urban land cover,0.43,0.86,0.41,0.38,0.6,0.68,0.37,0.43,0.33,0.73
optical,0.31,0.08,0.16,0.05,0.16,0.05,0.14,0.08,0.21,0.1
land cover mapping,0.34,0.65,0.38,0.35,0.37,0.64,0.32,0.37,0.32,0.61
cover,0.13,0.3,0.31,0.3,0.18,0.36,0.2,0.33,0.26,0.35
image classification,0.4,0.22,0.24,0.16,0.27,0.19,0.14,0.21,0.32,0.14
data weighting,0.39,0.15,0.13,0.14,0.26,0.2,0.16,0.18,0.44,0.21
eight machine learning,0.22,0.31,0.38,0.43,0.17,0.27,0.27,0.47,0.31,0.31
