,urban planning reform,expert system,urban information system,heterogeneous expert knowledge,democratic urban land,expert system approach,intelligent decision making,mathematical programming,expert,urban land dynamic
smart city ecosystem,0.49,0.4,0.58,0.33,0.47,0.47,0.49,0.21,0.19,0.57
innovation,0.44,0.27,0.39,0.32,0.26,0.34,0.32,0.3,0.14,0.37
application area,0.48,0.43,0.61,0.38,0.49,0.48,0.43,0.36,0.21,0.57
artificial intelligence technology,0.39,0.55,0.57,0.55,0.29,0.57,0.49,0.38,0.43,0.36
smart city initiative,0.58,0.4,0.57,0.26,0.5,0.49,0.59,0.19,0.2,0.52
sharing economy,0.46,0.39,0.51,0.3,0.42,0.45,0.36,0.17,0.18,0.43
city ecosystem,0.44,0.32,0.5,0.28,0.46,0.35,0.27,0.13,0.14,0.52
increasingly turning toward,0.43,0.33,0.41,0.23,0.45,0.48,0.51,0.17,0.17,0.41
turning toward specialized,0.42,0.42,0.44,0.33,0.36,0.55,0.48,0.27,0.28,0.37
toward specialized technology,0.46,0.56,0.58,0.51,0.35,0.63,0.49,0.36,0.39,0.43
