,soundscape,perception,street,greenery,public space,street greenery,human perception,perceptual,pedestrian,street view image
park accessibility,0.03,0.11,0.27,0.24,0.38,0.37,0.15,0.06,0.38,0.31
densification,0.17,0.02,-0.28,0.09,-0.26,-0.16,-0.08,0.15,-0.04,-0.29
spatial pattern metric,0.13,0.35,0.05,0.09,0.23,0.1,0.36,0.4,0.09,0.24
land policy,-0.2,0.23,0.19,0.04,0.48,0.17,0.38,-0.08,0.08,0.39
mapping urban form,0.09,0.23,0.2,0.13,0.48,0.24,0.38,0.1,0.2,0.39
city block level,-0.21,0.17,0.44,0.02,0.53,0.35,0.33,-0.15,0.26,0.49
open space area,-0.15,0.12,0.33,0.14,0.77,0.34,0.29,-0.07,0.28,0.45
park accessibility change,-0.04,0.26,0.31,0.17,0.48,0.35,0.32,0.09,0.33,0.44
predict building height,-0.23,0.24,0.35,0.08,0.44,0.32,0.34,-0.0,0.22,0.44
land readjustment policy,-0.12,0.17,0.09,0.09,0.35,0.13,0.25,0.0,0.08,0.21
