,binary urban footprint,urban land expansion,building height,driving force,urban footprint,land price,expansion,main driving force,body mass index,residential land price
traffic,0.2,0.33,0.28,0.44,0.26,0.25,0.2,0.48,0.23,0.31
traffic light control,0.25,0.44,0.42,0.57,0.3,0.42,0.26,0.62,0.39,0.44
road traffic safety,0.15,0.39,0.37,0.5,0.27,0.34,0.25,0.56,0.26,0.39
traffic control,0.21,0.44,0.37,0.54,0.28,0.39,0.27,0.58,0.31,0.41
traffic control system,0.29,0.48,0.4,0.51,0.3,0.43,0.32,0.58,0.38,0.45
routing,0.25,0.09,0.04,0.12,0.1,0.02,0.14,0.19,-0.05,0.07
light control,0.23,0.42,0.41,0.52,0.25,0.44,0.25,0.57,0.41,0.43
traffic safety,0.13,0.32,0.32,0.48,0.24,0.29,0.21,0.5,0.27,0.32
pedestrian,0.18,0.22,0.27,0.12,0.28,0.04,0.11,0.19,0.05,0.18
congestion,0.29,0.29,0.11,0.18,0.36,0.18,0.17,0.2,0.12,0.23
