,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
binary urban footprint,0.23,-0.01,0.45,0.23,0.59,0.22,0.33,0.31,0.23,0.24
urban land expansion,0.33,-0.1,0.22,0.73,0.64,0.51,0.59,0.45,0.41,0.62
building height,0.33,-0.17,0.27,0.36,0.32,0.6,0.5,0.41,0.87,0.3
driving force,0.17,-0.21,0.16,0.41,0.3,0.44,0.37,0.33,0.32,0.31
urban footprint,0.31,-0.02,0.27,0.35,0.59,0.32,0.4,0.38,0.28,0.34
land price,0.24,-0.25,0.22,0.72,0.33,0.46,0.47,0.37,0.41,0.57
expansion,0.19,0.01,0.19,0.42,0.32,0.36,0.39,0.31,0.38,0.38
main driving force,0.23,-0.28,0.17,0.45,0.35,0.56,0.48,0.39,0.4,0.32
body mass index,0.1,-0.22,0.28,0.32,0.34,0.41,0.35,0.24,0.4,0.25
residential land price,0.33,-0.2,0.21,0.69,0.42,0.54,0.54,0.41,0.48,0.56
