,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
land use category,0.21,0.32,0.16,0.51,0.36,0.25,0.51,0.43,0.44,0.21
essential urban land,0.22,0.41,0.16,0.56,0.63,0.33,0.63,0.46,0.44,0.24
urban functional zone,0.25,0.33,0.22,0.53,0.66,0.3,0.61,0.43,0.37,0.23
urban land use,0.24,0.39,0.18,0.54,0.59,0.3,0.64,0.46,0.46,0.25
urban poverty,0.19,0.4,0.14,0.41,0.62,0.38,0.57,0.27,0.26,0.21
functional zone classification,0.27,0.34,0.27,0.43,0.45,0.35,0.44,0.35,0.29,0.22
urban functional area,0.21,0.34,0.18,0.55,0.68,0.28,0.65,0.42,0.38,0.2
identify urban poverty,0.24,0.44,0.19,0.45,0.62,0.38,0.61,0.35,0.31,0.25
poverty,0.18,0.36,0.13,0.29,0.35,0.36,0.33,0.18,0.15,0.2
urban functional,0.23,0.32,0.2,0.49,0.71,0.25,0.64,0.37,0.33,0.22
