,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
crash,0.11,0.04,0.09,0.16,0.06,0.21,0.22,0.09,0.09,0.11
vehicle ownership,0.15,0.14,0.13,0.2,0.26,0.39,0.31,0.09,0.19,0.16
crime,0.06,-0.01,-0.01,0.11,0.13,0.16,0.27,-0.04,0.05,0.1
ownership,0.05,0.03,0.02,0.07,0.2,0.27,0.24,0.01,0.09,0.11
waterlogging,0.1,0.15,0.07,0.09,-0.18,0.08,-0.06,0.16,0.08,-0.05
opportunistic,-0.07,0.01,-0.01,-0.03,0.02,-0.04,-0.1,0.06,-0.02,-0.04
public transportation route,0.15,0.08,0.13,0.21,0.37,0.32,0.39,0.1,0.16,0.19
scale urban problem,0.25,0.21,0.18,0.34,0.33,0.46,0.59,0.14,0.27,0.2
real world data,0.21,0.11,0.2,0.28,0.42,0.38,0.39,0.01,0.22,0.26
game abstraction framework,0.18,0.06,0.2,0.25,0.26,0.29,0.25,0.11,0.11,0.11
