,land use category,essential urban land,urban functional zone,urban land use,urban poverty,functional zone classification,urban functional area,identify urban poverty,poverty,urban functional
binary urban footprint,0.34,0.48,0.51,0.48,0.46,0.38,0.56,0.46,0.24,0.6
urban land expansion,0.65,0.86,0.63,0.88,0.67,0.34,0.69,0.62,0.4,0.6
building height,0.43,0.4,0.35,0.42,0.22,0.3,0.41,0.25,0.14,0.3
driving force,0.43,0.4,0.29,0.41,0.24,0.22,0.3,0.29,0.19,0.22
urban footprint,0.35,0.63,0.62,0.61,0.63,0.33,0.67,0.6,0.34,0.67
land price,0.65,0.66,0.27,0.67,0.35,0.19,0.35,0.35,0.29,0.23
expansion,0.33,0.39,0.37,0.41,0.28,0.26,0.35,0.26,0.19,0.29
main driving force,0.49,0.47,0.38,0.47,0.29,0.3,0.42,0.35,0.22,0.31
body mass index,0.38,0.33,0.31,0.35,0.25,0.32,0.32,0.31,0.22,0.27
residential land price,0.66,0.71,0.43,0.73,0.42,0.26,0.52,0.42,0.27,0.4
