,park accessibility,densification,spatial pattern metric,land policy,mapping urban form,city block level,open space area,park accessibility change,predict building height,land readjustment policy
smart infrastructure system,0.31,-0.12,0.22,0.47,0.5,0.45,0.42,0.43,0.41,0.4
smart infrastructure,0.29,-0.09,0.13,0.4,0.41,0.36,0.34,0.37,0.36,0.37
infrastructure system,0.31,-0.06,0.25,0.47,0.52,0.45,0.43,0.42,0.4,0.39
outbreak,0.02,-0.12,0.02,0.16,0.14,0.19,0.15,0.07,0.26,0.1
smart city network,0.32,-0.23,0.12,0.37,0.44,0.64,0.46,0.42,0.37,0.24
data sharing,0.19,-0.17,0.33,0.34,0.47,0.36,0.39,0.3,0.3,0.21
governance,0.13,0.01,0.17,0.37,0.28,0.21,0.11,0.27,0.19,0.39
smart,0.16,-0.17,0.07,0.23,0.22,0.24,0.2,0.24,0.23,0.2
urban governance,0.26,-0.0,0.21,0.48,0.63,0.4,0.34,0.39,0.26,0.48
air quality,0.29,-0.12,0.24,0.35,0.37,0.44,0.46,0.39,0.31,0.26
