,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
land cover,0.32,0.34,0.18,0.16,0.31,0.46,0.09,0.35,0.38,0.36
land cover change,0.39,0.45,0.26,0.22,0.39,0.43,0.12,0.45,0.51,0.44
cropland,-0.07,-0.04,-0.08,-0.04,-0.09,0.12,0.05,-0.08,-0.01,-0.1
cover,0.2,0.23,0.17,0.13,0.26,0.23,0.02,0.31,0.3,0.33
land cover map,0.35,0.39,0.27,0.25,0.35,0.39,0.18,0.43,0.44,0.41
annual,0.17,0.3,0.1,0.06,0.18,0.19,0.1,0.23,0.37,0.22
impervious surface,0.24,0.27,0.19,0.18,0.19,0.08,0.11,0.2,0.13,0.19
green area,0.42,0.46,0.21,0.19,0.39,0.39,0.07,0.33,0.36,0.33
land use change,0.43,0.51,0.33,0.29,0.42,0.4,0.18,0.56,0.6,0.56
annual growth rate,0.25,0.51,0.19,0.19,0.28,0.36,0.14,0.34,0.57,0.35
