,crash,vehicle ownership,crime,ownership,waterlogging,opportunistic,public transportation route,scale urban problem,real world data,game abstraction framework
smart infrastructure system,0.15,0.44,0.26,0.28,-0.11,0.1,0.53,0.53,0.49,0.41
smart infrastructure,0.07,0.37,0.22,0.21,-0.09,0.11,0.44,0.47,0.4,0.31
infrastructure system,0.2,0.42,0.26,0.3,-0.06,0.03,0.58,0.55,0.47,0.4
outbreak,0.2,0.04,0.18,0.05,0.07,0.12,0.14,0.29,0.22,0.01
smart city network,0.15,0.41,0.34,0.29,-0.2,0.06,0.51,0.46,0.5,0.31
data sharing,0.16,0.37,0.23,0.32,-0.18,-0.0,0.36,0.35,0.66,0.39
governance,-0.01,0.2,0.13,0.28,0.04,0.05,0.18,0.31,0.25,0.31
smart,-0.0,0.27,0.14,0.11,-0.15,0.19,0.18,0.23,0.28,0.23
urban governance,0.02,0.29,0.28,0.3,0.01,-0.01,0.34,0.65,0.35,0.3
air quality,0.28,0.38,0.22,0.24,-0.11,-0.01,0.44,0.43,0.46,0.3
