,temperature,thermal,cooling,surface temperature,energy,land surface temperature,urban heat island,ventilation,thermal comfort,comfort
park accessibility,0.17,0.09,0.13,0.19,0.15,0.27,0.29,0.2,0.2,0.25
densification,0.01,0.06,0.09,-0.02,-0.14,-0.11,-0.13,0.17,-0.02,-0.11
spatial pattern metric,0.32,0.29,0.2,0.38,0.24,0.37,0.15,0.18,0.27,0.11
land policy,0.14,0.03,0.11,0.21,0.34,0.51,0.43,-0.02,0.11,0.16
mapping urban form,0.23,0.21,0.13,0.37,0.28,0.47,0.56,0.08,0.21,0.1
city block level,0.24,0.11,0.15,0.31,0.31,0.41,0.48,0.11,0.17,0.17
open space area,0.24,0.18,0.2,0.38,0.31,0.53,0.52,0.17,0.26,0.22
park accessibility change,0.3,0.13,0.22,0.32,0.29,0.41,0.41,0.19,0.25,0.29
predict building height,0.36,0.19,0.28,0.41,0.29,0.47,0.36,0.19,0.26,0.22
land readjustment policy,0.11,0.03,0.12,0.16,0.26,0.4,0.32,0.02,0.11,0.15
