,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
land use category,0.73,0.72,0.37,0.71,0.17,0.68,0.41,0.41,0.26,0.4
essential urban land,0.63,0.7,0.25,0.87,0.1,0.68,0.33,0.24,0.17,0.32
urban functional zone,0.43,0.38,0.3,0.61,0.19,0.44,0.27,0.29,0.25,0.37
urban land use,0.69,0.76,0.3,0.9,0.13,0.72,0.38,0.29,0.19,0.38
urban poverty,0.35,0.37,0.17,0.65,0.01,0.36,0.2,0.2,0.14,0.24
functional zone classification,0.59,0.25,0.44,0.33,0.22,0.36,0.21,0.6,0.36,0.35
urban functional area,0.49,0.45,0.3,0.69,0.21,0.52,0.29,0.32,0.22,0.37
identify urban poverty,0.41,0.4,0.27,0.65,0.08,0.43,0.26,0.29,0.21,0.32
poverty,0.24,0.26,0.13,0.4,-0.03,0.25,0.14,0.14,0.1,0.2
urban functional,0.37,0.29,0.31,0.58,0.23,0.39,0.19,0.32,0.24,0.31
