,land cover classification,land cover,data weighting method,urban land cover,optical,land cover mapping,cover,image classification,data weighting,eight machine learning
soundscape,-0.08,-0.13,0.02,-0.05,0.11,-0.02,-0.08,0.04,0.07,-0.07
perception,0.17,0.1,0.3,0.15,0.25,0.15,0.09,0.42,0.28,0.22
street,0.13,0.2,0.07,0.24,-0.01,0.18,0.16,0.06,0.08,0.19
greenery,0.16,0.21,-0.05,0.26,0.05,0.19,0.15,0.0,-0.0,-0.1
public space,0.44,0.48,0.29,0.53,0.15,0.51,0.37,0.31,0.25,0.41
street greenery,0.21,0.29,0.02,0.35,0.02,0.26,0.22,0.05,0.06,0.08
human perception,0.27,0.25,0.35,0.29,0.21,0.31,0.17,0.37,0.29,0.34
perceptual,0.03,-0.12,0.2,-0.1,0.26,0.02,-0.08,0.22,0.21,0.12
pedestrian,0.09,0.1,0.01,0.21,0.05,0.1,0.07,0.02,-0.02,0.11
street view image,0.32,0.35,0.26,0.37,0.22,0.39,0.31,0.51,0.22,0.35
