,road traffic noise,urban form indicator,interface network,interface network connectivity,classical urban design,housing estate,greenway suitability analysis,using network analysis,economic assessment using,assessment using machine
smart city ecosystem,0.34,0.45,0.39,0.39,0.44,0.27,0.17,0.42,0.43,0.38
innovation,0.16,0.32,0.29,0.32,0.44,0.18,0.16,0.3,0.39,0.26
application area,0.38,0.47,0.47,0.45,0.45,0.36,0.27,0.53,0.51,0.5
artificial intelligence technology,0.25,0.34,0.43,0.4,0.34,0.19,0.19,0.62,0.54,0.56
smart city initiative,0.34,0.42,0.36,0.33,0.43,0.31,0.1,0.44,0.44,0.41
sharing economy,0.25,0.43,0.25,0.26,0.27,0.37,0.15,0.39,0.6,0.37
city ecosystem,0.32,0.42,0.26,0.27,0.38,0.27,0.18,0.3,0.38,0.26
increasingly turning toward,0.34,0.4,0.21,0.16,0.3,0.24,0.09,0.39,0.47,0.41
turning toward specialized,0.32,0.4,0.26,0.21,0.38,0.24,0.1,0.43,0.46,0.47
toward specialized technology,0.3,0.41,0.4,0.38,0.47,0.28,0.15,0.54,0.52,0.54
