,carbon emission,climate change mitigation,emission,built environment factor,heterogeneous urban environment,climate,urban data science,air quality monitoring,air quality,carbon
positive deviance,0.09,0.19,0.1,0.21,0.17,0.14,0.16,0.15,0.14,0.06
urban planning firm,0.14,0.39,0.08,0.49,0.55,0.31,0.65,0.43,0.39,0.17
personality,0.03,0.2,0.06,0.32,0.22,0.2,0.19,0.16,0.2,-0.0
social media data,0.19,0.4,0.14,0.52,0.48,0.37,0.73,0.51,0.41,0.2
tweet,-0.02,-0.07,-0.02,-0.11,-0.13,-0.12,-0.1,-0.1,-0.1,-0.02
player,0.06,0.1,0.04,0.26,0.09,0.05,0.17,0.22,0.27,0.07
input excerpt must,0.22,0.33,0.2,0.29,0.22,0.17,0.35,0.31,0.26,0.19
six possible personality,0.14,0.35,0.11,0.51,0.25,0.28,0.36,0.44,0.42,0.14
possible personality class,0.17,0.32,0.15,0.55,0.35,0.25,0.4,0.37,0.39,0.16
media data analysis,0.24,0.38,0.19,0.43,0.39,0.31,0.7,0.52,0.42,0.24
