,travel,traffic,urban human mobility,mobility,human mobility,bike,transit,transportation mode recognition,trajectory,human mobility data
signal,0.11,0.33,0.21,0.15,0.23,0.09,0.16,0.36,0.19,0.36
positioning,0.11,0.08,0.18,0.29,0.23,0.09,0.14,0.27,0.31,0.32
positioning accuracy,0.12,0.11,0.26,0.35,0.32,0.11,0.08,0.3,0.38,0.42
multipath,-0.09,-0.0,-0.01,0.03,0.0,0.03,-0.06,0.02,0.05,-0.02
path loss,0.29,0.32,0.34,0.22,0.33,0.23,0.19,0.36,0.36,0.37
localization,-0.06,0.05,0.13,0.16,0.13,-0.06,-0.01,0.21,0.17,0.16
positioning performance,0.13,0.2,0.3,0.3,0.33,0.16,0.15,0.43,0.31,0.46
receiver,0.02,0.07,0.03,0.07,0.03,0.08,0.04,0.11,0.07,0.09
reception,0.08,0.13,0.08,-0.01,0.05,-0.01,0.04,0.2,0.02,0.08
fingerprint,0.05,-0.01,0.08,0.1,0.12,-0.01,0.08,0.19,0.05,0.22
