,land cover,land cover change,cropland,cover,land cover map,annual,impervious surface,green area,land use change,annual growth rate
park accessibility,0.28,0.31,0.04,0.17,0.3,0.11,0.1,0.37,0.35,0.15
densification,-0.26,-0.26,0.15,-0.2,-0.26,-0.11,0.06,-0.31,-0.25,-0.08
spatial pattern metric,0.17,0.26,0.09,0.12,0.31,0.13,0.21,0.18,0.33,0.26
land policy,0.73,0.79,0.15,0.34,0.69,0.25,0.13,0.46,0.81,0.42
mapping urban form,0.43,0.49,-0.04,0.28,0.55,0.24,0.32,0.42,0.54,0.36
city block level,0.42,0.5,-0.12,0.31,0.44,0.33,0.18,0.54,0.53,0.44
open space area,0.57,0.58,0.01,0.39,0.59,0.29,0.26,0.66,0.58,0.36
park accessibility change,0.39,0.57,0.01,0.27,0.43,0.21,0.16,0.45,0.61,0.32
predict building height,0.36,0.47,-0.04,0.28,0.4,0.25,0.23,0.37,0.5,0.43
land readjustment policy,0.55,0.61,0.2,0.24,0.53,0.17,0.14,0.28,0.64,0.36
